id,origem,dataEmissao,competencia,tomador,servico,valor,valorNumero,status,statusSlug,contajaId
contaja-577909,contaja,01/07/2025 11:35:29,07/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 21.112,88",21112.88,Autorizada,authorized,577909
contaja-577907,contaja,01/07/2025 11:33:51,07/2025,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,577907
contaja-553153,contaja,04/06/2025 20:48:05,06/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,553153
contaja-521442,contaja,01/05/2025 12:28:48,05/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,521442
contaja-509347,contaja,09/04/2025 09:53:45,04/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,509347
contaja-477418,contaja,07/03/2025 10:49:13,03/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,477418
contaja-461730,contaja,11/02/2025 23:09:41,02/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,461730
contaja-454652,contaja,06/02/2025 19:36:44,02/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Negada,denied,454652
contaja-454650,contaja,06/02/2025 19:34:35,02/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Negada,denied,454650
contaja-438750,contaja,13/01/2025 14:42:50,01/2025,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388 | 17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 20.107,50",20107.5,Autorizada,authorized,438750
